Sl No,District Name ,Area. In Hactare,Production. In MT,Yield. In MT per Hactare,Value. In lakh Rupees
1, Bengaluru Urban ,4382,114428,26.12,10024
2,Bengaluru Rural ,8099,153517,18.96,14560
3,Chikkaballapura,26593,1038950,39.07,198314
4, Chitradurga,49257,972030,19.73,256734
5,Davangere,10917,176762,16.19,15496
6, Kolar,38450,1223897,31.83,116538
7, Ramanagara,1660,16974,10.22,695
8, Shivamogga,627,11220,17.89,2223
9, Tumakuru,7259,306574,42.23,51832
10, Bagalkote,50738,887983,17.5,37780
11, Belagavi,39314,821620,20.9,158846
12, Vijayapura,52842,966373,18.29,67950
13, Dharwad,19317,370024,19.16,75549
14, Gadag,33463,321501,9.61,29233
15, Haveri,16396,359648,21.94,50501
16, Uttar Kannada,434,8305,19.14,1342
17,Ballari,28661,534917,18.66,76395
18, Bidar,9552,160112,16.76,32318
19, Kalaburagi,14353,254181,17.71,54334
20,Koppal,22877,380264,16.62,46390
21,Raichur,9175,169297,18.45,36221
22,Yadgiri,5049,84436,16.72,16392
23,Chamarajanagara,16968,344109,20.28,30118
24, Chikkamagaluru,15007,303691,20.24,36692
25,Dakshina Kannada,53,403,7.64,79
26, Hassan,16723,235148,14.06,64775
27,Kodagu,572,11718,20.5,1173
28, Mandya,8846,243806,27.56,15686
29, Mysuru,13127,405170,30.87,11522
30, Udupi,475,7703,16.21,2188
